CSV,Interval (Rounded),Interval (Original),Interval (5000),Interval (2000)
1,0.051,0.05110169785333119,0.05115617679999992,0.05041307449999998
2,0.056,0.056258870551089635,0.05756433100000045,0.05672364049999992
3,0.049,0.049123380252818274,0.04899492799999977,0.049224502549999764
4,0.048,0.04836707289465716,0.04813896479999967,0.04951553499999985
5,0.049,0.04926082851050861,0.049057577600000145,0.04890845000000016
6,0.051,0.051334963341422936,0.05134560539999975,0.05067622000000005
7,0.057,0.05707353749942553,0.057318023600000115,0.056220771999999884
8,0.057,0.05732641574803155,0.057287994400000174,0.056942005000000274
9,0.057,0.056984264352574435,0.05741299440000046,0.05724402600000022
10,0.052,0.05163438792646301,0.051563604800000065,0.05060938649999988
11,0.049,0.0486649899091826,0.04864676000000006,0.04902852249999995
12,0.047,0.04716725589225557,0.04605095219999984,0.04932388305000013
13,0.055,0.05513385579937303,0.05510738520000003,0.05488117199999992
14,0.057,0.05669800258923598,0.056655456599999994,0.05751216150000018
15,0.057,0.05682347465618841,0.056753919999999916,0.05601890950000019
16,0.051,0.050997414523212034,0.05112135999999982,0.05073370000000008
17,0.05,0.050492664588922806,0.050796283000000116,0.050690193000000175
18,0.057,0.05655943273393271,0.05649361580000001,0.055368331999999985
19,0.051,0.05116689637462239,0.05132966299999963,0.05071433649999993
20,0.056,0.056236073430349344,0.056965515199999914,0.0562870100000002
21,0.057,0.056894605134871594,0.05660490000000009,0.05599529649999988
22,0.051,0.05092708255041913,0.050912890599999816,0.05018186199999993
23,0.057,0.05716037375498048,0.05704379280000013,0.05693385000000002
24,0.051,0.05088969265391381,0.050935085999999866,0.05056534999999981
